0:note,1:octave,2:duration (s),3:principal value,4:absolute value,5:canonical duration (s),6:canonical time value label,7:weight
A,4,0.9479166666666666,9,57,1.0,5,1.0
G,4,0.47291666666666665,7,55,0.4989010989010989,8,1.0
F,4,0.9479166666666665,5,53,0.9999999999999999,5,1.0
E,4,0.47291666666666643,4,52,0.4989010989010987,8,1.0
D#,4,0.947916666666667,3,51,1.0000000000000004,5,1.0
E,4,0.947916666666667,4,52,1.0000000000000004,5,1.0
A,4,0.9479166666666661,9,57,0.9999999999999994,5,1.0
G,4,0.47291666666666643,7,55,0.4989010989010987,8,1.0
F,4,0.9479166666666661,5,53,0.9999999999999994,5,1.0
E,4,0.47291666666666643,4,52,0.4989010989010987,8,1.0
D#,4,0.9479166666666661,3,51,0.9999999999999994,5,1.0
E,4,0.9479166666666661,4,52,0.9999999999999994,5,1.0
E,5,1.8979166666666671,4,64,2.0021978021978026,2,1.0
D,5,0.9479166666666679,2,62,1.0000000000000013,5,1.0
C,5,0.497916666666665,0,60,0.5252747252747235,8,1.0
D,5,0.497916666666665,2,62,0.5252747252747235,8,1.0
E,5,1.8979166666666671,4,64,2.0021978021978026,2,1.0
A,4,1.8979166666666671,9,57,2.0021978021978026,2,1.0
A,5,2.6104166666666657,9,69,2.753846153846153,1,1.0
G,5,0.23541666666666572,7,67,0.24835164835164736,11,1.0
A,5,0.31458333333333144,9,69,0.33186813186812986,10,1.0
G,5,0.314583333333335,7,67,0.33186813186813363,10,1.0
F,5,0.31458333333333144,5,65,0.33186813186812986,10,1.0
F,5,1.8979166666666671,5,65,2.0021978021978026,2,1.0
E,5,1.8979166666666671,4,64,2.0021978021978026,2,1.0
B,4,1.8979166666666671,11,59,2.0021978021978026,2,1.0
C,5,1.8979166666666671,0,60,2.0021978021978026,2,1.0
D,5,0.9479166666666643,2,62,0.9999999999999976,5,1.0
A,4,0.9479166666666643,9,57,0.9999999999999976,5,1.0
A,4,0.11666666666666714,9,57,0.12307692307692358,13,1.0
B,4,0.11666666666666714,11,59,0.12307692307692358,13,1.0
B,4,3.3229166666666643,11,59,3.5054945054945033,0,1.0
A,4,0.4729166666666629,9,57,0.49890109890109496,8,1.0
B,4,1.8979166666666671,11,59,2.0021978021978026,2,1.0
E,4,0.9479166666666643,4,52,0.9999999999999976,5,1.0
E,5,1.8979166666666671,4,64,2.0021978021978026,2,1.0
C,5,0.11666666666666714,0,60,0.12307692307692358,13,1.0
D,5,1.625,2,62,1.7142857142857144,3,1.0
E,5,0.11666666666666714,4,64,0.12307692307692358,13,1.0
D,5,0.27291666666666714,2,62,0.28791208791208844,11,1.0
F,5,0.11666666666666714,5,65,0.12307692307692358,13,1.0
E,5,1.8979166666666671,4,64,2.0021978021978026,2,1.0
A,4,0.9479166666666643,9,57,0.9999999999999976,5,1.0
A,5,0.9479166666666643,9,69,0.9999999999999976,5,1.0
A,6,0.31458333333333144,9,81,0.33186813186812986,10,1.0
A#,6,0.31458333333333144,10,82,0.33186813186812986,10,1.0
G,6,0.31458333333333144,7,79,0.33186813186812986,10,1.0
F,6,0.31458333333333144,5,77,0.33186813186812986,10,1.0
E,6,0.31458333333333144,4,76,0.33186813186812986,10,1.0
D,6,0.31458333333333144,2,74,0.33186813186812986,10,1.0
C#,6,0.23541666666666572,1,73,0.24835164835164736,11,1.0
A#,5,0.23541666666666572,10,70,0.24835164835164736,11,1.0
A,5,0.15625,9,69,0.16483516483516483,12,1.0
G,5,0.15625,7,67,0.16483516483516483,12,1.0
F,5,0.15625,5,65,0.16483516483516483,12,1.0
E,5,0.15625,4,64,0.16483516483516483,12,1.0
D,5,0.15625,2,62,0.16483516483516483,12,1.0
C#,5,0.15625,1,61,0.16483516483516483,12,1.0
A#,4,0.15625,10,58,0.16483516483516483,12,1.0
A,4,0.15625,9,57,0.16483516483516483,12,1.0
G,4,0.15625,7,55,0.16483516483516483,12,1.0
F,4,2.847916666666663,5,53,3.0043956043956004,1,1.0
A#,3,1.89791666666666,10,46,2.0021978021977955,2,1.0
A#,4,1.4229166666666657,10,58,1.5010989010989002,3,1.0
A,4,0.4729166666666629,9,57,0.49890109890109496,8,1.0
G#,4,1.4229166666666657,8,56,1.5010989010989002,3,1.0
G,4,0.11666666666666003,7,55,0.12307692307691608,13,1.0
G#,4,0.11666666666666003,8,56,0.12307692307691608,13,1.0
A,4,0.11666666666666003,9,57,0.12307692307691608,13,1.0
B,4,0.11666666666666003,11,59,0.12307692307691608,13,1.0
C,5,0.9479166666666714,0,60,1.000000000000005,5,1.0
B,4,0.4729166666666629,11,59,0.49890109890109496,8,1.0
A,4,0.4729166666666629,9,57,0.49890109890109496,8,1.0
E,4,0.4729166666666629,4,52,0.49890109890109496,8,1.0
F,4,1.89791666666666,5,53,2.0021978021977955,2,1.0
E,4,0.9479166666666714,4,52,1.000000000000005,5,1.0
A,3,1.89791666666666,9,45,2.0021978021977955,2,1.0
C,4,0.9479166666666714,0,48,1.000000000000005,5,1.0
D,4,0.23541666666666572,2,50,0.24835164835164736,11,1.0
E,4,0.23541666666666572,4,52,0.24835164835164736,11,1.0
F,4,0.23541666666666572,5,53,0.24835164835164736,11,1.0
G,4,0.23541666666666572,7,55,0.24835164835164736,11,1.0
A,4,0.31458333333333144,9,57,0.33186813186812986,10,1.0
A#,4,0.31458333333333144,10,58,0.33186813186812986,10,1.0
A,4,0.31458333333333144,9,57,0.33186813186812986,10,1.0
G,4,0.9479166666666714,7,55,1.000000000000005,5,1.0
C,5,0.4729166666666629,0,60,0.49890109890109496,8,1.0
A#,4,0.23541666666666572,10,58,0.24835164835164736,11,1.0
A,4,0.23541666666666572,9,57,0.24835164835164736,11,1.0
G,4,0.4729166666666629,7,55,0.49890109890109496,8,1.0
F,4,0.4729166666666629,5,53,0.49890109890109496,8,1.0
A,4,0.31458333333333144,9,57,0.33186813186812986,10,1.0
A#,4,0.31458333333333144,10,58,0.33186813186812986,10,1.0
A,4,0.31458333333333144,9,57,0.33186813186812986,10,1.0
G,4,0.9479166666666714,7,55,1.000000000000005,5,1.0
C,5,0.9479166666666714,0,60,1.000000000000005,5,1.0
C,5,0.71041666666666,0,60,0.7494505494505426,6,1.0
